jmin	dmax	detector	n_matched	n_removed_matchable	pct_removed_matched	mean_jaccard	mean_dist	mean_ambiguity	median_shared_residues
0.2	5.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.2	5.0	fpocket	365	373	97.9	0.985	0.13	0.152	8
0.2	8.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.2	8.0	fpocket	367	373	98.4	0.982	0.16	0.155	8
0.2	12.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.2	12.0	fpocket	367	373	98.4	0.982	0.16	0.155	8
0.2	999.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.2	999.0	fpocket	368	373	98.7	0.98	0.19	0.154	8
0.25	5.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.25	5.0	fpocket	365	373	97.9	0.985	0.13	0.152	8
0.25	8.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.25	8.0	fpocket	367	373	98.4	0.982	0.16	0.155	8
0.25	12.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.25	12.0	fpocket	367	373	98.4	0.982	0.16	0.155	8
0.25	999.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.25	999.0	fpocket	367	373	98.4	0.982	0.16	0.155	8
0.3	5.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.3	5.0	fpocket	364	373	97.6	0.987	0.12	0.151	8
0.3	8.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.3	8.0	fpocket	365	373	97.9	0.986	0.14	0.152	8
0.3	12.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.3	12.0	fpocket	365	373	97.9	0.986	0.14	0.152	8
0.3	999.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.3	999.0	fpocket	365	373	97.9	0.986	0.14	0.152	8
0.4	5.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.4	5.0	fpocket	364	373	97.6	0.987	0.12	0.151	8
0.4	8.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.4	8.0	fpocket	364	373	97.6	0.987	0.12	0.151	8
0.4	12.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.4	12.0	fpocket	364	373	97.6	0.987	0.12	0.151	8
0.4	999.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.4	999.0	fpocket	364	373	97.6	0.987	0.12	0.151	8
0.5	5.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.5	5.0	fpocket	364	373	97.6	0.987	0.12	0.151	8
0.5	8.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.5	8.0	fpocket	364	373	97.6	0.987	0.12	0.151	8
0.5	12.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.5	12.0	fpocket	364	373	97.6	0.987	0.12	0.151	8
0.5	999.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.5	999.0	fpocket	364	373	97.6	0.987	0.12	0.151	8
0.6	5.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.6	5.0	fpocket	363	373	97.3	0.989	0.11	0.151	8
0.6	8.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.6	8.0	fpocket	363	373	97.3	0.989	0.11	0.151	8
0.6	12.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.6	12.0	fpocket	363	373	97.3	0.989	0.11	0.151	8
0.6	999.0	p2rank	86	86	100.0	0.995	0.05	0.068	9
0.6	999.0	fpocket	363	373	97.3	0.989	0.11	0.151	8
0.7	5.0	p2rank	85	86	98.8	0.999	0.01	0.064	9
0.7	5.0	fpocket	359	373	96.2	0.993	0.06	0.149	8
0.7	8.0	p2rank	85	86	98.8	0.999	0.01	0.064	9
0.7	8.0	fpocket	359	373	96.2	0.993	0.06	0.149	8
0.7	12.0	p2rank	85	86	98.8	0.999	0.01	0.064	9
0.7	12.0	fpocket	359	373	96.2	0.993	0.06	0.149	8
0.7	999.0	p2rank	85	86	98.8	0.999	0.01	0.064	9
0.7	999.0	fpocket	359	373	96.2	0.993	0.06	0.149	8
