DETECTOR	STRATUM	N_STRUCTURES	RANK1_K	RANK1_N	RANK1_PCT	RANK1_CI95	TOP3_K	TOP3_N	TOP3_PCT	TOP3_CI95	TOP5_K	TOP5_N	TOP5_PCT	TOP5_CI95
p2rank	BRIL	28	2	28	7.1	2.0-22.6	8	28	28.6	15.3-47.1	14	28	50.0	32.6-67.4
p2rank	T4L	38	7	38	18.4	9.2-33.4	20	38	52.6	37.3-67.5	29	38	76.3	60.8-87.0
p2rank	MBP	61	57	61	93.4	84.3-97.4	61	61	100.0	94.1-100.0	61	61	100.0	94.1-100.0
p2rank	ALL (raw pooled)	127	66	127	52.0	43.3-60.5	89	127	70.1	61.6-77.4	104	127	81.9	74.3-87.6
p2rank	ALL (partner-standardised 1/3 each)	127	NA	NA	39.7	34.4-45.6 (cluster bootstrap)	NA	NA	60.4	NA	NA	NA	75.4	NA
fpocket	BRIL	29	3	29	10.3	3.6-26.4	14	29	48.3	31.4-65.6	20	29	69.0	50.8-82.7
fpocket	T4L	38	5	38	13.2	5.8-27.3	17	38	44.7	30.1-60.3	25	38	65.8	49.9-78.8
fpocket	MBP	61	52	61	85.2	74.3-92.0	60	61	98.4	91.3-99.7	60	61	98.4	91.3-99.7
fpocket	ALL (raw pooled)	128	60	128	46.9	38.4-55.5	91	128	71.1	62.7-78.2	105	128	82.0	74.5-87.7
fpocket	ALL (partner-standardised 1/3 each)	128	NA	NA	36.2	30.5-42.4 (cluster bootstrap)	NA	NA	63.8	NA	NA	NA	77.7	NA
