AIM	DETECTOR	STRATUM	METRIC	PRIMARY_K	PRIMARY_N	PRIMARY_PCT	PRIMARY_CI95	SENS_K	SENS_N	SENS_PCT	SENS_CI95	DELTA_PCT_POINTS
A	p2rank	ALL	rank-1	66	127	52.0	43.3-60.5	73	140	52.1	43.9-60.2	0.2
A	p2rank	ALL	top-3	89	127	70.1	61.6-77.4	99	140	70.7	62.7-77.6	0.6
A	p2rank	ALL	top-5	104	127	81.9	74.3-87.6	112	140	80.0	72.6-85.8	-1.9
A	p2rank	BRIL	rank-1	2	28	7.1	2.0-22.6	3	34	8.8	3.0-23.0	1.7
A	p2rank	BRIL	top-3	8	28	28.6	15.3-47.1	11	34	32.4	19.1-49.2	3.8
A	p2rank	BRIL	top-5	14	28	50.0	32.6-67.4	15	34	44.1	28.9-60.5	-5.9
A	p2rank	T4L	rank-1	7	38	18.4	9.2-33.4	7	39	17.9	9.0-32.7	-0.5
A	p2rank	T4L	top-3	20	38	52.6	37.3-67.5	21	39	53.8	38.6-68.4	1.2
A	p2rank	T4L	top-5	29	38	76.3	60.8-87.0	30	39	76.9	61.7-87.4	0.6
A	p2rank	MBP	rank-1	57	61	93.4	84.3-97.4	63	67	94.0	85.6-97.7	0.6
A	p2rank	MBP	top-3	61	61	100.0	94.1-100.0	67	67	100.0	94.6-100.0	0.0
A	p2rank	MBP	top-5	61	61	100.0	94.1-100.0	67	67	100.0	94.6-100.0	0.0
A	p2rank	ALL	rank-1 partner-standardised	NA	127	39.7	34.4-45.6	NA	140	40.3	34.9-46.0	0.6
A	fpocket	ALL	rank-1	60	128	46.9	38.4-55.5	69	141	48.9	40.8-57.1	2.1
A	fpocket	ALL	top-3	91	128	71.1	62.7-78.2	101	141	71.6	63.7-78.4	0.5
A	fpocket	ALL	top-5	105	128	82.0	74.5-87.7	117	141	83.0	75.9-88.3	0.9
A	fpocket	BRIL	rank-1	3	29	10.3	3.6-26.4	6	35	17.1	8.1-32.7	6.8
A	fpocket	BRIL	top-3	14	29	48.3	31.4-65.6	17	35	48.6	33.0-64.4	0.3
A	fpocket	BRIL	top-5	20	29	69.0	50.8-82.7	25	35	71.4	54.9-83.7	2.5
A	fpocket	T4L	rank-1	5	38	13.2	5.8-27.3	5	39	12.8	5.6-26.7	-0.3
A	fpocket	T4L	top-3	17	38	44.7	30.1-60.3	18	39	46.2	31.6-61.4	1.4
A	fpocket	T4L	top-5	25	38	65.8	49.9-78.8	26	39	66.7	51.0-79.4	0.9
A	fpocket	MBP	rank-1	52	61	85.2	74.3-92.0	58	67	86.6	76.4-92.8	1.3
A	fpocket	MBP	top-3	60	61	98.4	91.3-99.7	66	67	98.5	92.0-99.7	0.1
A	fpocket	MBP	top-5	60	61	98.4	91.3-99.7	66	67	98.5	92.0-99.7	0.1
A	fpocket	ALL	rank-1 partner-standardised	NA	128	36.2	30.5-42.4	NA	141	38.8	33.0-45.4	2.6
B	p2rank	ALL	evaluable	103	NA	NA	NA	114	NA	NA	NA	NA
B	p2rank	ALL	detector abstentions	22	NA	NA	NA	24	NA	NA	NA	NA
B	p2rank	ALL	unmatched	3	NA	NA	NA	3	NA	NA	NA	NA
B	p2rank	ALL	median displacement	0	NA	NA	NA	0.0	NA	NA	NA	NA
B	p2rank	ALL	mean displacement	0.78	NA	NA	NA	0.82	NA	NA	NA	NA
B	p2rank	ALL	negative displacement	0	NA	NA	NA	0	NA	NA	NA	NA
B	p2rank	ALL	displacement >0	42	103	40.8	31.8-50.4	47	114	41.2	32.6-50.4	0.5
B	p2rank	ALL	displacement >=2	19	103	18.4	12.1-27.0	21	114	18.4	12.4-26.5	-0.0
B	p2rank	ALL	displacement >=5	2	103	1.9	0.5-6.8	3	114	2.6	0.9-7.5	0.7
B	p2rank	BRIL	displacement >0	2	28	7.1	2.0-22.6	3	34	8.8	3.0-23.0	1.7
B	p2rank	T4L	displacement >0	6	37	16.2	7.7-31.1	6	38	15.8	7.4-30.4	-0.4
B	p2rank	MBP	displacement >0	34	38	89.5	75.9-95.8	38	42	90.5	77.9-96.2	1.0
B	fpocket	ALL	evaluable	128	NA	NA	NA	141	NA	NA	NA	NA
B	fpocket	ALL	detector abstentions	0	NA	NA	NA	0	NA	NA	NA	NA
B	fpocket	ALL	unmatched	0	NA	NA	NA	0	NA	NA	NA	NA
B	fpocket	ALL	median displacement	1.0	NA	NA	NA	1	NA	NA	NA	NA
B	fpocket	ALL	mean displacement	4.06	NA	NA	NA	4.45	NA	NA	NA	NA
B	fpocket	ALL	negative displacement	0	NA	NA	NA	0	NA	NA	NA	NA
B	fpocket	ALL	displacement >0	65	128	50.8	42.2-59.3	76	141	53.9	45.7-61.9	3.1
B	fpocket	ALL	displacement >=2	51	128	39.8	31.8-48.5	57	141	40.4	32.7-48.7	0.6
B	fpocket	ALL	displacement >=5	34	128	26.6	19.7-34.8	39	141	27.7	20.9-35.6	1.1
B	fpocket	BRIL	displacement >0	4	29	13.8	5.5-30.6	8	35	22.9	12.1-39.0	9.1
B	fpocket	T4L	displacement >0	8	38	21.1	11.1-36.3	9	39	23.1	12.6-38.3	2.0
B	fpocket	MBP	displacement >0	53	61	86.9	76.2-93.2	59	67	88.1	78.2-93.8	1.2
C	both	ALL	reference-site coverage	60	128	46.9	NA	62	141	44.0	NA	-2.9
C	p2rank	ALL	reference site outranked by fusion pocket	9	58	15.5	NA	10	60	16.7	NA	NA
C	fpocket	ALL	reference site outranked by fusion pocket	27	60	45.0	NA	29	62	46.8	NA	NA
