detector	displacement	note	original_rank	partner	pdb_id	removed_rank	state	target
p2rank				BRIL	11TF	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P51679
p2rank		removed rank-1 cavity has <3 target residues		MBP	1HSJ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9F0R1
p2rank		removed rank-1 cavity has <3 target residues		MBP	1R6Z	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9VUQ5
p2rank				T4L	29AJ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q5VT66
p2rank				T4L	2RH1	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P07550
p2rank				MBP	2VGQ		DETECTOR_ABSTENTION	Q7Z434
p2rank				MBP	3A3C		DETECTOR_ABSTENTION	P36046
p2rank				MBP	3DM0	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O24456
p2rank				MBP	3EHS	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P34998
p2rank				T4L	3EML	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P29274
p2rank				MBP	3F5F	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q76KB1
p2rank				MBP	3H4Z		DETECTOR_ABSTENTION	P49273
p2rank				MBP	3MP6		DETECTOR_ABSTENTION	P25554
p2rank		removed rank-1 cavity has <3 target residues		MBP	3N93	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q13324
p2rank				MBP	3O3U	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q15109
p2rank		removed rank-1 cavity has <3 target residues		MBP	3OB4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A5Z1Q8
p2rank				T4L	3PBL	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P35462
p2rank				MBP	3PY7	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P06931
p2rank				T4L	3RZE	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P35367
p2rank				BRIL	3U8P	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P42212
p2rank				T4L	3UON	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P08172
p2rank				T4L	3V2Y	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P21453
p2rank				T4L	3VW7	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P25116
p2rank				MBP	3WAI	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O29867
p2rank				MBP	4B3N	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q0PF16
p2rank				MBP	4BL9	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9UMX1
p2rank				T4L	4DKL	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P42866
p2rank				MBP	4DXB	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P62593
p2rank				MBP	4EDQ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O70468
p2rank				MBP	4EGC	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q15475
p2rank				T4L	4EJ4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P32300
p2rank		removed rank-1 cavity has <3 target residues		T4L	4EPI	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q57159
p2rank		removed rank-1 cavity has <3 target residues		MBP	4EXK	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A0A0F6B1U8
