detector	pdb_id	partner	topology	orig_rank	removed_rank	rank_change	orig_score	removed_score	score_change	jaccard	overlap_coef	centroid_dist	n_shared_target_res	n_target_res_orig	n_target_res_removed	orig_class	fusion_assoc_above_in_original	orig_recovers_ref	removed_recovers_ref
p2rank	3ODU	T4L	INTERNAL_INSERTION	1	1	0	37.33	37.33	0.0	1.0	1.0	0.0	40	40	40	TARGET_DOMINATED	0	True	True
p2rank	3ODU	T4L	INTERNAL_INSERTION	2	2	0	3.04	3.03	-0.010000000000000231	1.0	1.0	0.0	12	12	12	TARGET_DOMINATED	0	False	False
p2rank	3ODU	T4L	INTERNAL_INSERTION	3	3	0	2.84	2.84	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	0	False	False
p2rank	3ODU	T4L	INTERNAL_INSERTION	4	4	0	2.39	2.39	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	0	False	False
p2rank	4DJH	T4L	INTERNAL_INSERTION	1	1	0	26.14	26.14	0.0	1.0	1.0	0.0	33	33	33	TARGET_DOMINATED	0	True	True
p2rank	4DJH	T4L	INTERNAL_INSERTION	2	2	0	9.33	9.33	0.0	1.0	1.0	0.0	16	16	16	TARGET_DOMINATED	0	False	False
p2rank	4DJH	T4L	INTERNAL_INSERTION	3	3	0	4.69	4.69	0.0	1.0	1.0	0.0	12	12	12	TARGET_DOMINATED	0	False	False
p2rank	4DJH	T4L	INTERNAL_INSERTION	4	4	0	3.96	3.96	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	0	False	False
p2rank	4DJH	T4L	INTERNAL_INSERTION	5	5	0	3.36	3.36	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	0	False	False
p2rank	4DJH	T4L	INTERNAL_INSERTION	6	6	0	3.34	3.34	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	0	False	False
p2rank	4DJH	T4L	INTERNAL_INSERTION	7	7	0	2.11	2.11	0.0	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	0	False	False
p2rank	4DJH	T4L	INTERNAL_INSERTION	10	8	2	1.31	1.31	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	2	False	False
p2rank	4JKV	BRIL	TERMINAL_N	1	1	0	32.37	32.37	0.0	1.0	1.0	0.0	33	33	33	TARGET_DOMINATED	0	True	True
p2rank	4JKV	BRIL	TERMINAL_N	3	2	1	7.38	7.38	0.0	1.0	1.0	0.0	12	12	12	TARGET_DOMINATED	1	False	False
p2rank	4JKV	BRIL	TERMINAL_N	4	3	1	4.8	4.8	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	1	False	False
p2rank	4JKV	BRIL	TERMINAL_N	5	4	1	4.28	4.28	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	1	False	False
p2rank	4JKV	BRIL	TERMINAL_N	6	5	1	3.12	3.12	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	1	False	False
p2rank	4JKV	BRIL	TERMINAL_N	7	6	1	1.93	1.93	0.0	1.0	1.0	0.0	4	4	4	UNASSIGNED	1	False	False
p2rank	4JKV	BRIL	TERMINAL_N	8	7	1	1.66	1.66	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	1	False	False
p2rank	4JKV	BRIL	TERMINAL_N	9	8	1	1.33	1.26	-0.07000000000000006	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	1	False	False
p2rank	4N6H	BRIL	TERMINAL_N	1	1	0	17.94	17.94	0.0	1.0	1.0	0.0	20	20	20	TARGET_DOMINATED	0	True	True
p2rank	4N6H	BRIL	TERMINAL_N	2	2	0	3.63	3.63	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	0	False	False
p2rank	4N6H	BRIL	TERMINAL_N	3	3	0	2.77	2.77	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	0	False	False
p2rank	4N6H	BRIL	TERMINAL_N	4	4	0	2.05	2.05	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	0	False	False
p2rank	4N6H	BRIL	TERMINAL_N	5	5	0	2.01	2.0	-0.009999999999999787	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	0	False	False
p2rank	4N6H	BRIL	TERMINAL_N	6	6	0	1.68	1.68	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	0	False	False
p2rank	4N6H	BRIL	TERMINAL_N	7	7	0	1.34	1.34	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	0	False	False
p2rank	4N6H	BRIL	TERMINAL_N	8	8	0	1.29	1.29	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	0	False	False
p2rank	4Z35	BRIL	INTERNAL_INSERTION	1	1	0	34.95	34.95	0.0	1.0	1.0	0.0	34	34	34	TARGET_DOMINATED	0	True	True
p2rank	4Z35	BRIL	INTERNAL_INSERTION	3	2	1	2.24	2.24	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	1	False	False
p2rank	4Z35	BRIL	INTERNAL_INSERTION	4	3	1	1.37	1.37	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	1	False	False
p2rank	4Z35	BRIL	INTERNAL_INSERTION	5	4	1	0.98	0.98	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	1	False	False
p2rank	5AZA	MBP	TERMINAL_N	2	1	1	10.25	10.25	0.0	1.0	1.0	0.0	21	21	21	TARGET_DOMINATED	1	False	False
p2rank	5AZA	MBP	TERMINAL_N	3	6	-3	7.62	1.39	-6.23	0.667	1.0	3.84	8	12	8	INTERFACE	1	False	False
p2rank	5AZA	MBP	TERMINAL_N	5	2	3	4.15	4.15	0.0	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	3	False	False
p2rank	5AZA	MBP	TERMINAL_N	6	3	3	3.38	3.38	0.0	1.0	1.0	0.0	13	13	13	TARGET_DOMINATED	3	False	False
p2rank	5AZA	MBP	TERMINAL_N	9	4	5	2.0	2.0	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	5	False	False
p2rank	5AZA	MBP	TERMINAL_N	14	5	9	1.54	1.54	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	7	False	False
p2rank	5K94	MBP	COMPLEX	2	1	1	5.36	2.55	-2.8100000000000005	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	1	False	False
p2rank	5ZBQ	T4L	TERMINAL_C	1	1	0	61.49	61.49	0.0	1.0	1.0	0.0	43	43	43	TARGET_DOMINATED	0	True	True
p2rank	5ZBQ	T4L	TERMINAL_C	3	2	1	2.2	2.2	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	1	False	False
