entity_id	pdb_id	fusion_partner	fusion_accession	target_accession	topology	method	resolution	representative_chain	entity_length	target_modelled	fusion_modelled	target_disorder	fusion_disorder	align_coverage_of_modelled	n_alternative_entries	status	description
6M97_1	6M97	BRIL	P0ABE7	C0HAK2	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.03	A	234	115	93	0.0336	0.1226	1.0	1	CONFIRMATORY_FINAL	Chimera protein of High affinity copper uptake protein 1 and Soluble cytochrome b562
9QP4_1	9QP4	BRIL	P0ABE7	P03999	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.06	A	488	299	92	0.1308	0.1238	0.9874	1	CONFIRMATORY_FINAL	Short-wave-sensitive opsin 1,Soluble cytochrome b562
8JJ8_1	8JJ8	BRIL	P0ABE7	P07550	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.2	F	453	280	95	0.0	0.0	1.0	2	CONFIRMATORY_FINAL	Beta-2 adrenergic receptor,Soluble cytochrome b562
5ZKC_1	5ZKC	BRIL	P0ABE7	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.3	A	421	278	105	0.0671	0.0	0.9974	4	CONFIRMATORY_FINAL	Muscarinic acetylcholine receptor M2,Apo-cytochrome b562,Muscarinic acetylcholine receptor M2
6CC4_1	6CC4	BRIL	P0ABE7	P0AF16	TERMINAL_N	X-RAY DIFFRACTION	3.5	A	614	504	104	0.0079	0.0095	1.0	0	CONFIRMATORY_FINAL	soluble cytochrome b562, lipid II flippase MurJ chimera
6C1Q_1	6C1Q	BRIL	P0ABE7	P21730	TERMINAL_N	X-RAY DIFFRACTION	2.9	B	422	284	90	0.0596	0.1509	1.0	0	CONFIRMATORY_FINAL	Soluble cytochrome b562, C5a anaphylatoxin chemotactic receptor 1 chimera
5WIU_1	5WIU	BRIL	P0ABE7	P21917	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.962	A	422	270	103	0.1374	0.019	1.0	1	CONFIRMATORY_FINAL	D(4) dopamine receptor, soluble cytochrome b562 chimera
6LW5_1	6LW5	BRIL	P0ABE7	P25090	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	427	320	106	0.0	0.0	0.9977	0	CONFIRMATORY_FINAL	Soluble cytochrome b562,N-formyl peptide receptor 2
4IAR_1	4IAR	BRIL	P0ABE7	P28222	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	A	401	273	106	0.0651	0.0	1.0	2	CONFIRMATORY_FINAL	Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562
7WC8_1	7WC8	BRIL	P0ABE7	P28223	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.45	A	376	280	80	0.0444	0.0361	1.0	11	CONFIRMATORY_FINAL	5-hydroxytryptamine receptor 2A,5-hydroxytryptamine receptor 2A,Soluble cytochrome b562
6BQG_1	6BQG	BRIL	P0ABE7	P28335	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	A	452	286	92	0.0435	0.1321	1.0	0	CONFIRMATORY_FINAL	5-hydroxytryptamine receptor 2C,Soluble cytochrome b562
5NM4_1	5NM4	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.7	A	433	293	86	0.0425	0.181	0.9921	123	CONFIRMATORY_FINAL	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5N2S_1	5N2S	BRIL	P0ABE7	P30542	TERMINAL_N	X-RAY DIFFRACTION	3.303	A	436	280	103	0.1054	0.0283	1.0	0	CONFIRMATORY_FINAL	Soluble cytochrome b562,Adenosine receptor A1
4ZUD_1	4ZUD	BRIL	P0ABE7	P30556	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	410	268	105	0.1096	0.0094	0.992	4	CONFIRMATORY_FINAL	Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor
9W32_1	9W32	BRIL	P0ABE7	P35346	INTERNAL_INSERTION	ELECTRON MICROSCOPY	2.59	A	389	278	98	0.0	0.0	0.9666	1	CONFIRMATORY_FINAL	Somatostatin receptor type 5,Soluble cytochrome b562
8S4D_1	8S4D	BRIL	P0ABE7	P35414	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.584	A	497	280	96	0.1054	0.04	0.9869	0	CONFIRMATORY_FINAL	Apelin receptor,Soluble cytochrome b562
4IB4_1	4IB4	BRIL	P0ABE7	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	A	430	285	90	0.0656	0.1509	1.0	5	CONFIRMATORY_FINAL	Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562
3U8P_1	3U8P	BRIL	P0ABE7	P42212	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.75	A	347	226	106	0.0342	0.0	0.9852	0	CONFIRMATORY_FINAL	Cytochrome b562 integral fusion with enhanced green fluorescent protein
8TF5_1	8TF5	BRIL	P0ABE7	P46095	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.1	A	436	265	98	0.1225	0.0755	0.9973	2	CONFIRMATORY_FINAL	G-protein coupled receptor 6,Soluble cytochrome b562 chimera,Soluble cytochrome b562,G-protein coupled receptor 6
4L6R_1	4L6R	BRIL	P0ABE7	P47871	TERMINAL_N	X-RAY DIFFRACTION	3.3	A	425	292	106	0.0641	0.0	1.0	0	CONFIRMATORY_FINAL	Soluble cytochrome b562 and Glucagon receptor chimera
5UNF_1	5UNF	BRIL	P0ABE7	P50052	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	411	286	100	0.0498	0.0566	1.0	5	CONFIRMATORY_FINAL	Chimera protein of Type-2 angiotensin II receptor and Soluble cytochrome b562
6IQL_1	6IQL	BRIL	P0ABE7	P51436	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.5	A	396	251	89	0.1068	0.1442	0.9971	0	CONFIRMATORY_FINAL	D(4) dopamine receptor,Soluble cytochrome b562,D(4) dopamine receptor
11TF_1	11TF	BRIL	P0ABE7	P51679	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.4	R	475	285	95	0.1949	0.0952	0.9596	1	CONFIRMATORY_FINAL	C-C chemokine receptor type 4,Soluble cytochrome b562
4OR2_1	4OR2	BRIL	P0ABE7	Q13255	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	389	255	105	0.0893	0.0094	1.0	0	CONFIRMATORY_FINAL	Soluble cytochrome b562, Metabotropic glutamate receptor 1
9CUG_1	9CUG	BRIL	P0ABE7	Q15306	TERMINAL_N	X-RAY DIFFRACTION	2.49	A	286	177	98	0.0112	0.0755	1.0	0	CONFIRMATORY_FINAL	Soluble cytochrome b562,Interferon regulatory factor 4
6KO5_1	6KO5	BRIL	P0ABE7	Q92847	TERMINAL_N	X-RAY DIFFRACTION	3.3	A	424	293	105	0.0786	0.0094	1.0	0	CONFIRMATORY_FINAL	Chimera of Soluble cytochrome b562 and Growth hormone secretagogue receptor type 1
4PXZ_1	4PXZ	BRIL	P0ABE7	Q9H244	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	A	466	286	106	0.1613	0.0	1.0	2	CONFIRMATORY_FINAL	P2Y purinoceptor 12, Soluble cytochrome b562
6G7O_1	6G7O	BRIL	P0ABE7	Q9NUN7	TERMINAL_C	X-RAY DIFFRACTION	2.7	A	350	243	105	0.0	0.0	0.9943	0	CONFIRMATORY_FINAL	Alkaline ceramidase 3,Soluble cytochrome b562
9IYA_1	9IYA	BRIL	P0ABE7	Q9Y2T6	TERMINAL_C	ELECTRON MICROSCOPY	3.04	A	412	274	89	0.0552	0.1524	0.9732	0	CONFIRMATORY_FINAL	G-protein coupled receptor 55,Soluble cytochrome b562
5VAW_1	5VAW	MBP	P0AEX9	A0A0D5YCX7	TERMINAL_N	X-RAY DIFFRACTION	1.69	A	508	130	354	0.0152	0.0328	1.0	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,Type IV pilin PilA
4EXK_1	4EXK	MBP	P0AEX9	A0A0F6B1U8	TERMINAL_N	X-RAY DIFFRACTION	1.28	A	487	104	367	0.0	0.0	0.9916	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, uncharacterized protein chimera
7WR3_1	7WR3	MBP	P0AEX9	A0A0H2US87	TERMINAL_N	X-RAY DIFFRACTION	1.87	A	806	424	358	0.0208	0.0	0.9849	0	CONFIRMATORY_FINAL	MBP-fused OspC3
8DX4_1	8DX4	MBP	P0AEX9	A0A0H3N4W9	TERMINAL_N	X-RAY DIFFRACTION	2.487	A	512	130	366	0.0441	0.0	0.998	0	CONFIRMATORY_FINAL	Maltodextrin-binding protein,Putative pilin protein
7CY6_1	7CY6	MBP	P0AEX9	A0A2K3D5Z7	TERMINAL_N	X-RAY DIFFRACTION	2.1	A	917	500	365	0.0602	0.0027	0.992	4	CONFIRMATORY_FINAL	Maltodextrin-binding protein,5-methylcytosine-modifying enzyme 1
3OB4_1	3OB4	MBP	P0AEX9	A5Z1Q8	TERMINAL_N	X-RAY DIFFRACTION	2.706	A	500	104	366	0.2	0.0	0.9916	0	CONFIRMATORY_FINAL	Maltose ABC transporter periplasmic protein,Arah 2
4IRL_1	4IRL	MBP	P0AEX9	B0V1H4	TERMINAL_N	X-RAY DIFFRACTION	1.47	A	476	87	358	0.0645	0.0	0.9632	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, Novel protein similar to vertebrate guanylate binding protein family
4PQK_1	4PQK	MBP	P0AEX9	B1B3N6	TERMINAL_N	X-RAY DIFFRACTION	3.401	A	487	112	366	0.0667	0.0	1.0	0	CONFIRMATORY_FINAL	Maltose ABC transporter periplasmic protein, Truncated replication protein RepA
4H1G_1	4H1G	MBP	P0AEX9	C4YKK8	COMPLEX	X-RAY DIFFRACTION	2.15	A	715	300	360	0.1279	0.0	0.9851	0	CONFIRMATORY_FINAL	Maltose binding protein-CaKar3 motor domain fusion protein
5TTD_1	5TTD	MBP	P0AEX9	D2KPJ6	TERMINAL_N	X-RAY DIFFRACTION	2.0	A	499	122	359	0.0	0.0028	0.9796	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,Pilin isopeptide linkage domain protein
6DD5_1	6DD5	MBP	P0AEX9	F2K1V9	TERMINAL_N	X-RAY DIFFRACTION	2.85	A	678	279	358	0.0822	0.0	0.977	0	CONFIRMATORY_FINAL	MMB-1 Cas6 Fused to Maltose Binding Protein,CRISPR-associated endonuclease Cas1
3DM0_1	3DM0	MBP	P0AEX9	O24456	TERMINAL_N	X-RAY DIFFRACTION	2.4	A	694	307	366	0.0583	0.0	0.997	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein fused with RACK1
3WAI_1	3WAI	MBP	P0AEX9	O29867	TERMINAL_N	X-RAY DIFFRACTION	1.897	A	739	352	357	0.0461	0.0246	0.9972	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, Transmembrane oligosaccharyl transferase
4QVH_1	4QVH	MBP	P0AEX9	O33336	TERMINAL_N	X-RAY DIFFRACTION	1.75	A	598	227	365	0.0	0.0027	0.9933	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, 4'-phosphopantetheinyl transferase chimera
4EDQ_1	4EDQ	MBP	P0AEX9	O70468	TERMINAL_N	X-RAY DIFFRACTION	1.641	A	492	114	357	0.0579	0.0028	0.9752	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,Myosin-binding protein C, cardiac-type chimeric protein
8IIZ_1	8IIZ	MBP	P0AEX9	O95619	TERMINAL_N	X-RAY DIFFRACTION	2.1	A	514	136	366	0.0355	0.0	0.9921	1	CONFIRMATORY_FINAL	Maltodextrin-binding protein,YEATS domain-containing protein 4
5FSG_1	5FSG	MBP	P0AEX9	P05133	TERMINAL_N	X-RAY DIFFRACTION	3.209	A	698	287	358	0.0946	0.0	0.9758	0	CONFIRMATORY_FINAL	MALTOSE-BINDING PERIPLASMIC PROTEIN, HANTAVIRUS NUCLEOPROTEIN
3PY7_1	3PY7	MBP	P0AEX9	P06931	TERMINAL_N	X-RAY DIFFRACTION	2.288	A	523	120	365	0.1241	0.0027	0.97	0	CONFIRMATORY_FINAL	maltose-binding periplasmic protein,paxillin LD1,protein E6 chimera
5Y2G_1	5Y2G	MBP	P0AEX9	P09879	TERMINAL_N	X-RAY DIFFRACTION	3.0	A	595	210	364	0.0	0.0055	0.988	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,Protein B
4QSZ_1	4QSZ	MBP	P0AEX9	P0C872	TERMINAL_N	X-RAY DIFFRACTION	2.86	A	687	314	361	0.0032	0.0	0.984	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, JmjC domain-containing protein 7 chimera
8C5L_1	8C5L	MBP	P0AEX9	P10588	COMPLEX	X-RAY DIFFRACTION	2.6	A	568	187	363	0.0556	0.0	0.9892	0	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein,Nuclear receptor subfamily 2 group F member 6
5OSQ_1	5OSQ	MBP	P0AEX9	P10761	TERMINAL_N	X-RAY DIFFRACTION	2.05	A	481	102	366	0.0	0.0027	0.9915	3	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,Zona pellucida sperm-binding protein 3
5I04_1	5I04	MBP	P0AEX9	P17813	TERMINAL_N	X-RAY DIFFRACTION	2.42	A	692	296	367	0.0513	0.0	0.9925	1	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,Endoglin
3MP6_1	3MP6	MBP	P0AEX9	P25554	TERMINAL_N	X-RAY DIFFRACTION	1.48	A	522	141	366	0.0903	0.0	0.998	2	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,LINKER,SAGA-associated factor 29
6D66_1	6D66	MBP	P0AEX9	P28562	TERMINAL_N	X-RAY DIFFRACTION	2.226	A	520	143	364	0.0	0.0027	0.9807	3	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,Dual specificity protein phosphatase 1
3EHS_1	3EHS	MBP	P0AEX9	P34998	TERMINAL_N	X-RAY DIFFRACTION	2.76	A	476	85	366	0.1146	0.0027	0.9869	1	CONFIRMATORY_FINAL	fusion protein of CRFR1 extracellular domain and MBP
3A3C_1	3A3C	MBP	P0AEX9	P36046	TERMINAL_N	X-RAY DIFFRACTION	2.5	A	451	87	364	0.0	0.0	1.0	1	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, LINKER, Mitochondrial intermembrane space import and assembly protein 40
3H4Z_1	3H4Z	MBP	P0AEX9	P49273	COMPLEX	X-RAY DIFFRACTION	2.35	A	568	205	363	0.0	0.0	1.0	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein fused with Allergen DERP7
6EG3_1	6EG3	MBP	P0AEX9	P51531	TERMINAL_N	X-RAY DIFFRACTION	2.84	A	621	251	359	0.0	0.0191	0.9935	1	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein,Probable global transcription activator SNF2L2
6K7E_1	6K7E	MBP	P0AEX9	P53220	TERMINAL_N	X-RAY DIFFRACTION	1.534	A	507	113	367	0.0	0.0027	0.9639	2	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein,Mitochondrial import inner membrane translocase subunit TIM21
5H7N_1	5H7N	MBP	P0AEX9	P59046	TERMINAL_N	X-RAY DIFFRACTION	1.849	A	478	85	370	0.1327	0.0	0.9956	0	CONFIRMATORY_FINAL	NLRP12-PYD with MBP tag
4DXB_1	4DXB	MBP	P0AEX9	P62593	TERMINAL_N	X-RAY DIFFRACTION	2.29	A	637	244	358	0.0	0.0	0.9451	1	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, Beta-lactamase TEM chimera
6DM8_1	6DM8	MBP	P0AEX9	P97287	TERMINAL_N	X-RAY DIFFRACTION	2.7	A	518	144	366	0.0336	0.0	0.9942	0	CONFIRMATORY_FINAL	Induced myeloid leukemia cell differentiation protein Mcl-1 homolog - MBP chimera
8SVY_1	8SVY	MBP	P0AEX9	Q07820	TERMINAL_N	X-RAY DIFFRACTION	1.47	A	518	149	365	0.0	0.0027	0.9942	22	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein, Induced myeloid leukemia cell differentiation protein Mcl-1 chimera
4B3N_1	4B3N	MBP	P0AEX9	Q0PF16	TERMINAL_N	X-RAY DIFFRACTION	3.3	A	602	192	365	0.1233	0.0108	1.0	0	CONFIRMATORY_FINAL	MALTOSE-BINDING PERIPLASMIC PROTEIN, TRIPARTITE MOTIF-CONTAINING PROTEIN 5
8DEI_1	8DEI	MBP	P0AEX9	Q12495	TERMINAL_N	X-RAY DIFFRACTION	2.81	A	490	87	364	0.0333	0.0055	0.9495	0	CONFIRMATORY_FINAL	Maltodextrin-binding protein,Chromatin assembly factor 1 subunit p90 fusion
3N93_1	3N93	MBP	P0AEX9	Q13324	TERMINAL_N	X-RAY DIFFRACTION	2.5	A	482	99	366	0.0748	0.0054	0.9873	2	CONFIRMATORY_FINAL	Maltose binding protein-CRFR2 alpha
3O3U_1	3O3U	MBP	P0AEX9	Q15109	TERMINAL_N	X-RAY DIFFRACTION	1.497	N	581	209	357	0.0	0.0	0.9759	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, Advanced glycosylation end product-specific receptor
4EGC_1	4EGC	MBP	P0AEX9	Q15475	TERMINAL_N	X-RAY DIFFRACTION	1.994	A	559	169	366	0.1058	0.0	0.9926	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, Homeobox protein SIX1 chimera
7T31_1	7T31	MBP	P0AEX9	Q185H8	TERMINAL_N	X-RAY DIFFRACTION	2.3	A	512	120	367	0.0977	0.0	0.9939	0	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein,Putative pilin protein chimera
7MHW_1	7MHW	MBP	P0AEX9	Q2YLR6	TERMINAL_N	X-RAY DIFFRACTION	2.55	A	481	98	363	0.0297	0.0082	0.9788	0	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein,Outer membrane lipoprotein omp19
8SBU_1	8SBU	MBP	P0AEX9	Q59028	TERMINAL_N	X-RAY DIFFRACTION	2.2	A	618	218	367	0.0954	0.0027	1.0	0	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein,6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase
4NUF_1	4NUF	MBP	P0AEX9	Q62227	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	580	179	366	0.1311	0.0054	0.9927	0	CONFIRMATORY_FINAL	Maltose ABC transporter periplasmic protein, Nuclear receptor subfamily 0 group B member 2 chimeric construct
3F5F_1	3F5F	MBP	P0AEX9	Q76KB1	TERMINAL_N	X-RAY DIFFRACTION	2.65	A	658	286	361	0.0069	0.0	0.9863	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, Heparan sulfate 2-O-sulfotransferase 1
7B01_1	7B01	MBP	P0AEX9	Q76LX8	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	608	222	366	0.0826	0.0	1.0	0	CONFIRMATORY_FINAL	Maltodextrin-binding protein,Maltodextrin-binding protein,Maltodextrin-binding protein,ADAMTS13 CUB12,A disintegrin and metalloproteinase with thrombospondin motifs 13,A disintegrin and metalloproteinase with thrombospondin motifs 13,A disintegrin and metalloproteinase with thrombospondin motifs 13
2VGQ_1	2VGQ	MBP	P0AEX9	Q7Z434	TERMINAL_N	X-RAY DIFFRACTION	2.1	A	477	91	361	0.0	0.0028	0.9805	0	CONFIRMATORY_FINAL	Sugar ABC transporter substrate-binding protein,Mitochondrial antiviral-signaling protein
8H68_1	8H68	MBP	P0AEX9	Q8MNT9	TERMINAL_N	X-RAY DIFFRACTION	2.2	A	634	254	366	0.0231	0.0	0.9936	0	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein,DNA N6-methyl adenine demethylase
6XRX_1	6XRX	MBP	P0AEX9	Q8T5C5	TERMINAL_N	X-RAY DIFFRACTION	1.95	A	554	181	367	0.0163	0.0	0.9946	0	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein, Mosquito protein AZ1
5II5_1	5II5	MBP	P0AEX9	Q8WR62	COMPLEX	X-RAY DIFFRACTION	1.8	A	496	109	364	0.0522	0.0055	0.9937	1	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,Vitelline envelope sperm lysin receptor
