detector	pdb_id	partner	target	topology	rank1_class	score	f_target	f_fusion	f_linker	n_residues	n_classifiable	unmapped_fraction	isolated_partner_overlap	isolated_partner_rank	cavity_intrinsic_to_partner	deposited_groups_in_pocket	mechanism
p2rank	3N94	MBP	P41586	TERMINAL_N	FUSION_DOMINATED	34.08	0.0417	0.9583	0.0	24	24	0.0	0.913	1	True	GLCx2	FUSION_INTRINSIC_CAVITY
p2rank	3OAI	MBP	P25189	TERMINAL_N	FUSION_DOMINATED	29.19	0.0	1.0	0.0	22	22	0.0	1.0	1	True	GLCx2	FUSION_INTRINSIC_CAVITY
p2rank	5AZA	MBP	I6V0B8	TERMINAL_N	FUSION_DOMINATED	34.62	0.0	1.0	0.0	24	24	0.0	1.0	1	True	GLCx2	FUSION_INTRINSIC_CAVITY
p2rank	5GPP	MBP	Q9I9N6	TERMINAL_N	FUSION_DOMINATED	26.14	0.0	1.0	0.0	22	22	0.0	1.0	1	True	GLCx2	FUSION_INTRINSIC_CAVITY
p2rank	5H7Q	MBP	P41218	TERMINAL_N	FUSION_DOMINATED	35.47	0.0	1.0	0.0	20	20	0.0	1.0	1	True	GLCx2;ACTx1	FUSION_INTRINSIC_CAVITY
p2rank	5JQE	MBP	Q14790	TERMINAL_N	FUSION_DOMINATED	11.67	0.0	1.0	0.0	21	21	0.0	1.0	1	True		FUSION_INTRINSIC_CAVITY
p2rank	5K94	MBP	P10408	COMPLEX	FUSION_DOMINATED	9.31	0.0	1.0	0.0	19	19	0.0	1.0	1	True	B3Px1	FUSION_INTRINSIC_CAVITY
p2rank	5YQR	T4L	Q08001	TERMINAL_N	FUSION_DOMINATED	3.74	0.0	1.0	0.0	13	13	0.0	1.0	1	True		FUSION_INTRINSIC_CAVITY
p2rank	6A73	T4L	P61201	TERMINAL_C	FUSION_DOMINATED	3.3	0.2308	0.7692	0.0	13	13	0.0	0.0	None	False		AMBIGUOUS
p2rank	6WSK	T4L	Q5M7A7	TERMINAL_N	INTERFACE	3.49	0.3571	0.5714	0.0714	14	14	0.0	0.0	None	False		TARGET_FUSION_INTERFACE
p2rank	7UAJ	MBP	P03126	TERMINAL_N	FUSION_DOMINATED	27.73	0.0	1.0	0.0	23	23	0.0	1.0	1	True	GLCx2	FUSION_INTRINSIC_CAVITY
fpocket	3OAI	MBP	P25189	TERMINAL_N	FUSION_DOMINATED	0.146	0.0	1.0	0.0	13	13	0.0	1.0	1	True	GLCx2	FUSION_INTRINSIC_CAVITY
fpocket	4Z35	BRIL	Q92633	INTERNAL_INSERTION	INTERFACE	0.173	0.4231	0.5769	0.0	26	26	0.0	1.0	1	True		TARGET_FUSION_INTERFACE
fpocket	5AZA	MBP	I6V0B8	TERMINAL_N	FUSION_DOMINATED	0.159	0.0	1.0	0.0	14	14	0.0	1.0	1	True		FUSION_INTRINSIC_CAVITY
fpocket	5GPP	MBP	Q9I9N6	TERMINAL_N	FUSION_DOMINATED	0.347	0.0	1.0	0.0	14	14	0.0	1.0	1	True	GLCx1	FUSION_INTRINSIC_CAVITY
fpocket	5H7Q	MBP	P41218	TERMINAL_N	FUSION_DOMINATED	0.266	0.0	1.0	0.0	21	21	0.0	1.0	1	True	GLCx2;ACTx1	FUSION_INTRINSIC_CAVITY
fpocket	5JQE	MBP	Q14790	TERMINAL_N	INTERFACE	0.236	0.55	0.4	0.05	20	20	0.0	0.625	16	True		TARGET_FUSION_INTERFACE
fpocket	5K94	MBP	P10408	COMPLEX	INTERFACE	0.198	0.5185	0.4815	0.0	27	27	0.0	0.615	19	True		TARGET_FUSION_INTERFACE
fpocket	5YQR	T4L	Q08001	TERMINAL_N	FUSION_DOMINATED	0.32	0.0	1.0	0.0	20	20	0.0	1.0	1	True		FUSION_INTRINSIC_CAVITY
fpocket	5ZBQ	T4L	P25929	TERMINAL_C	FUSION_DOMINATED	0.149	0.0	1.0	0.0	10	10	0.0	1.0	2	True		FUSION_INTRINSIC_CAVITY
fpocket	6A73	T4L	P61201	TERMINAL_C	FUSION_DOMINATED	0.113	0.0	1.0	0.0	5	5	0.0	1.0	2	True		FUSION_INTRINSIC_CAVITY
fpocket	6RZ4	BRIL	Q9Y271	INTERNAL_INSERTION	FUSION_DOMINATED	0.146	0.0	1.0	0.0	10	10	0.0	1.0	1	True		FUSION_INTRINSIC_CAVITY
fpocket	6RZ7	BRIL	Q9NS75	INTERNAL_INSERTION	FUSION_DOMINATED	0.212	0.0	1.0	0.0	12	12	0.0	1.0	1	True	PGEx1	FUSION_INTRINSIC_CAVITY
fpocket	7UAJ	MBP	P03126	TERMINAL_N	FUSION_DOMINATED	0.24	0.0	1.0	0.0	20	20	0.0	1.0	1	True	GLCx2	FUSION_INTRINSIC_CAVITY
fpocket	7YXA	BRIL	Q9H228	INTERNAL_INSERTION	FUSION_DOMINATED	0.194	0.0	1.0	0.0	10	10	0.0	1.0	1	True		FUSION_INTRINSIC_CAVITY
fpocket	7ZL9	BRIL	Q8TDS4	TERMINAL_C	FUSION_DOMINATED	0.13	0.0909	0.9091	0.0	11	11	0.0	1.0	1	True		FUSION_INTRINSIC_CAVITY
