entity_id	pdb_id	fusion_partner	target_accession	topology	method	resolution	representative_chain	target_modelled	fusion_modelled	target_disorder	fusion_disorder	align_coverage_of_modelled	description
8YNT_4	8YNT	BRIL	A0A2R9AFP0	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.43	R	271	90	0.2961	0.0	0.9139	Melanin-concentrating hormone receptor 1,Soluble cytochrome b562
6M97_1	6M97	BRIL	C0HAK2	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.03	A	115	93	0.0336	0.1226	1.0	Chimera protein of High affinity copper uptake protein 1 and Soluble cytochrome b562
8JH7_4	8JH7	BRIL	O60353	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.2	D	326	92	0.3237	0.1238	0.9698	Frizzled-6,Soluble cytochrome b562
9QP4_1	9QP4	BRIL	P03999	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.06	A	299	92	0.1308	0.1238	0.9874	Short-wave-sensitive opsin 1,Soluble cytochrome b562
8JJ8_1	8JJ8	BRIL	P07550	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.2	F	280	95	0.0	0.0	1.0	Beta-2 adrenergic receptor,Soluble cytochrome b562
5ZKC_1	5ZKC	BRIL	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.3	A	278	105	0.0671	0.0	0.9974	Muscarinic acetylcholine receptor M2,Apo-cytochrome b562,Muscarinic acetylcholine receptor M2
6CC4_1	6CC4	BRIL	P0AF16	TERMINAL_N	X-RAY DIFFRACTION	3.5	A	504	104	0.0079	0.0095	1.0	soluble cytochrome b562, lipid II flippase MurJ chimera
6C1R_1	6C1R	BRIL	P21730	TERMINAL_N	X-RAY DIFFRACTION	2.2	B	290	81	0.0397	0.2358	1.0	Soluble cytochrome b562, C5a anaphylatoxin chemotactic receptor 1 chimera
5WIU_1	5WIU	BRIL	P21917	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.962	A	270	103	0.1374	0.019	1.0	D(4) dopamine receptor, soluble cytochrome b562 chimera
6LW5_1	6LW5	BRIL	P25090	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	320	106	0.0	0.0	0.9977	Soluble cytochrome b562,N-formyl peptide receptor 2
4IAR_1	4IAR	BRIL	P28222	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	A	273	106	0.0651	0.0	1.0	Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562
