detector	pdb_id	partner	orig_rank	removed_rank	rank_change	n_fusion_above	displaced	jaccard	orig_score	removed_score
p2rank	3ODU	T4L	1	1	0	0	False	1.0	37.33	37.33
p2rank	4DJH	T4L	1	1	0	0	False	1.0	26.14	26.14
p2rank	4JKV	BRIL	1	1	0	0	False	1.0	32.37	32.37
p2rank	4N6H	BRIL	1	1	0	0	False	1.0	17.94	17.94
p2rank	4Z35	BRIL	1	1	0	0	False	1.0	34.95	34.95
p2rank	5AZA	MBP	2	1	1	1	True	1.0	10.25	10.25
p2rank	5K94	MBP	2	1	1	1	True	1.0	5.36	2.55
p2rank	5ZBQ	T4L	1	1	0	0	False	1.0	61.49	61.49
p2rank	6A73	T4L	3	1	2	2	True	1.0	1.43	1.43
p2rank	6BG3	T4L	1	1	0	0	False	1.0	12.32	12.32
p2rank	6CM4	T4L	1	1	0	0	False	1.0	36.25	36.25
p2rank	6RZ4	BRIL	1	1	0	0	False	1.0	26.02	26.02
p2rank	6RZ7	BRIL	1	1	0	0	False	1.0	26.56	26.56
p2rank	6WSK	T4L	2	1	1	1	True	1.0	1.47	1.47
p2rank	7UAJ	MBP	6	1	5	5	True	1.0	0.97	0.97
p2rank	7YXA	BRIL	1	1	0	0	False	1.0	31.31	31.31
p2rank	7ZL9	BRIL	1	1	0	0	False	1.0	36.43	36.43
p2rank	9JRT	BRIL	1	1	0	0	False	1.0	17.44	17.44
fpocket	3N94	MBP	2	1	1	0	False	1.0	0.036	0.47
fpocket	3OAI	MBP	3	1	2	2	True	1.0	0.064	0.478
fpocket	3ODU	T4L	1	1	0	0	False	1.0	0.216	0.216
fpocket	4DJH	T4L	1	1	0	0	False	1.0	0.124	0.124
fpocket	4JKV	BRIL	1	1	0	0	False	0.979	0.626	0.628
fpocket	4N6H	BRIL	1	1	0	0	False	1.0	0.398	0.398
fpocket	4Z35	BRIL	3	1	2	1	True	1.0	0.085	0.085
fpocket	5AZA	MBP	4	1	3	3	True	1.0	0.037	0.46
fpocket	5GPP	MBP	31	1	30	28	True	1.0	-0.079	0.269
fpocket	5H7Q	MBP	14	1	13	12	True	0.7	-0.011	0.413
fpocket	5JQE	MBP	3	1	2	2	True	1.0	0.121	0.33
fpocket	5K94	MBP	4	1	3	2	True	1.0	0.118	0.386
fpocket	5YQR	T4L	4	1	3	3	True	1.0	0.161	0.401
fpocket	5ZBQ	T4L	2	1	1	1	True	1.0	0.128	0.128
fpocket	6A73	T4L	2	1	1	1	True	1.0	0.086	0.113
fpocket	6BG3	T4L	1	1	0	0	False	1.0	0.32	0.324
fpocket	6CM4	T4L	1	1	0	0	False	1.0	0.152	0.153
fpocket	6RZ4	BRIL	4	1	3	3	True	1.0	0.003	0.004
fpocket	6RZ7	BRIL	2	1	1	1	True	1.0	0.075	0.075
fpocket	6WSK	T4L	1	1	0	0	False	0.818	0.287	0.359
fpocket	7UAJ	MBP	4	1	3	3	True	1.0	0.098	0.438
fpocket	7YXA	BRIL	2	1	1	1	True	1.0	0.19	0.19
fpocket	7ZL9	BRIL	2	1	1	1	True	1.0	0.109	0.109
fpocket	9JRT	BRIL	1	1	0	0	False	1.0	0.184	0.184
