detector	pdb_id	partner	rank1_class	f_fusion	n_fusion_residues_in_pocket	isolated_n_pockets	best_jaccard	best_isolated_rank	centroid_dist	probe_state	mechanism
p2rank	3N94	MBP	FUSION_DOMINATED	0.9583	23	4	0.913	1	1.1	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3OAI	MBP	FUSION_DOMINATED	1.0	22	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5AZA	MBP	FUSION_DOMINATED	1.0	24	6	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5GPP	MBP	FUSION_DOMINATED	1.0	22	10	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5H7Q	MBP	FUSION_DOMINATED	1.0	20	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5JQE	MBP	FUSION_DOMINATED	1.0	21	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5K94	MBP	FUSION_DOMINATED	1.0	19	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5YQR	T4L	FUSION_DOMINATED	1.0	13	1	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6A73	T4L	FUSION_DOMINATED	0.7692	10	0	None	None	None	DETECTOR_NO_PREDICTIONS	UNDETERMINED_DETECTOR_NO_PREDICTIONS
p2rank	6WSK	T4L	INTERFACE	0.5714	9	1	0.0	None	None	NO_MATCHING_CAVITY	TARGET_FUSION_INTERFACE
p2rank	7UAJ	MBP	FUSION_DOMINATED	1.0	23	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	3OAI	MBP	FUSION_DOMINATED	1.0	13	18	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4Z35	BRIL	INTERFACE	0.5769	15	5	0.833	1	1.19	MATCHED_INTRINSIC_CAVITY	TARGET_FUSION_INTERFACE
fpocket	5AZA	MBP	FUSION_DOMINATED	1.0	14	27	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5GPP	MBP	FUSION_DOMINATED	1.0	14	30	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5H7Q	MBP	FUSION_DOMINATED	1.0	21	25	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5JQE	MBP	INTERFACE	0.4	9	26	0.429	16	3.41	MATCHED_INTRINSIC_CAVITY	TARGET_FUSION_INTERFACE
fpocket	5K94	MBP	INTERFACE	0.4815	13	20	0.571	19	4.29	MATCHED_INTRINSIC_CAVITY	TARGET_FUSION_INTERFACE
fpocket	5YQR	T4L	FUSION_DOMINATED	1.0	20	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5ZBQ	T4L	FUSION_DOMINATED	1.0	10	12	1.0	2	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6A73	T4L	FUSION_DOMINATED	1.0	5	6	1.0	2	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6RZ4	BRIL	FUSION_DOMINATED	1.0	10	4	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6RZ7	BRIL	FUSION_DOMINATED	1.0	12	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	7UAJ	MBP	FUSION_DOMINATED	1.0	20	25	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	7YXA	BRIL	FUSION_DOMINATED	1.0	10	6	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	7ZL9	BRIL	FUSION_DOMINATED	0.9091	10	6	0.909	1	0.86	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
