pdb_id	partner	target	orig_rank	removed_rank	rank_change	fusion_above	top1	top3	top5
11TF	BRIL	P51679	1	1	0	0	True	True	True
29AJ	T4L	Q5VT66	1	1	0	0	True	True	True
2RH1	T4L	P07550	1	1	0	0	True	True	True
3EML	T4L	P29274	1	1	0	0	True	True	True
3F5F	MBP	Q76KB1	2	1	1	1	False	True	True
3PBL	T4L	P35462	1	1	0	0	True	True	True
3RZE	T4L	P35367	1	1	0	0	True	True	True
3UON	T4L	P08172	1	1	0	0	True	True	True
3V2Y	T4L	P21453	1	1	0	0	True	True	True
3VW7	T4L	P25116	1	1	0	0	True	True	True
4DKL	T4L	P42866	1	1	0	0	True	True	True
4EJ4	T4L	P32300	1	1	0	0	True	True	True
4H1G	MBP	C4YKK8	4	2	2	1	False	False	True
4IAR	BRIL	P28222	1	1	0	0	True	True	True
4IB4	BRIL	P41595	1	1	0	0	True	True	True
4IKM	MBP	Q9Y2G2					False	False	False
4K5Y	T4L	P34998	1	1	0	0	True	True	True
4OR2	BRIL	Q13255	1	1	0	0	True	True	True
4PXZ	BRIL	Q9H244	1	1	0	0	True	True	True
4QVH	MBP	O33336	3	1	2	2	False	True	True
4WTV	T4L	Q8TCG2	1	1	0	0	True	True	True
5DSG	T4L	P08173	1	1	0	0	True	True	True
5EDU	MBP	Q9UBN7	2	1	1	1	False	True	True
5EE7	T4L	P47871	1	1	0	0	True	True	True
5NM4	BRIL	P29274	1	1	0	0	True	True	True
5T1A	T4L	P41597	1	1	0	0	True	True	True
5TZR	T4L	O14842	1	1	0	0	True	True	True
5UEN	BRIL	P30542	1	1	0	0	True	True	True
5UNF	BRIL	P50052	1	1	0	0	True	True	True
5VEW	T4L	P43220					False	False	False
5WIU	BRIL	P21917	1	1	0	0	True	True	True
5X93	T4L	P24530	1	1	0	0	True	True	True
5ZHP	T4L	P08483	1	1	0	0	True	True	True
5ZKC	BRIL	P08172	1	1	0	0	True	True	True
6BQG	BRIL	P28335	1	1	0	0	True	True	True
6C1R	BRIL	P21730	1	1	0	0	True	True	True
6D27	T4L	Q9Y5Y4	1	1	0	0	True	True	True
6D9M	T4L	Q39UD1	7	2	5	4	False	False	False
6DM8	MBP	P97287	2	1	1	1	False	True	True
6EG3	MBP	P51531	2	2	0	0	False	True	True
6FFI	T4L	P41594	1	1	0	0	True	True	True
6IQL	BRIL	P51436	1	1	0	0	True	True	True
6J20	T4L	P25103	1	1	0	0	True	True	True
6KO5	BRIL	Q92847	1	1	0	0	True	True	True
6KPC	T4L	P34972	1	1	0	0	True	True	True
6LW5	BRIL	P25090	1	1	0	0	True	True	True
6M9T	T4L	P43115	1	1	0	0	True	True	True
6ZFZ	T4L	P11229	1	1	0	0	True	True	True
7F8Y	T4L	P32238	1	1	0	0	True	True	True
7WC8	BRIL	P28223	1	1	0	0	True	True	True
7WR3	MBP	A0A0H2US87	2	1	1	1	False	True	True
8H68	MBP	Q8MNT9	2	1	1	1	False	True	True
8JJ8	BRIL	P07550	1	1	0	0	True	True	True
8S4D	BRIL	P35414	1	1	0	0	True	True	True
8SVY	MBP	Q07820	2	1	1	1	False	True	True
8TF5	BRIL	P46095	2	2	0	0	False	True	True
8YNT	BRIL	A0A2R9AFP0	1	1	0	0	True	True	True
9IYA	BRIL	Q9Y2T6	1	1	0	0	True	True	True
9QP4	BRIL	P03999	1	1	0	0	True	True	True
9UVT	BRIL	P30411	1	1	0	0	True	True	True
9UVV	BRIL	P30518	2	1	1	1	False	True	True
9W32	BRIL	P35346	1	1	0	0	True	True	True
