pdb_id	partner	target	orig_rank	removed_rank	rank_change	fusion_above	top1	top3	top5
11TF	BRIL	P51679	36	27	9	6	False	False	False
29AJ	T4L	Q5VT66	1	1	0	0	True	True	True
2RH1	T4L	P07550	35	23	12	11	False	False	False
3EML	T4L	P29274	1	1	0	0	True	True	True
3F5F	MBP	Q76KB1	7	6	1	2	False	False	False
3PBL	T4L	P35462	4	1	3	1	False	False	True
3RZE	T4L	P35367	1	1	0	0	True	True	True
3UON	T4L	P08172	1	1	0	0	True	True	True
3V2Y	T4L	P21453	24	16	8	9	False	False	False
3VW7	T4L	P25116	2	2	0	0	False	True	True
4DKL	T4L	P42866	19	18	1	0	False	False	False
4EJ4	T4L	P32300	1	1	0	0	True	True	True
4H1G	MBP	C4YKK8	6	1	5	4	False	False	False
4IAR	BRIL	P28222	6	3	3	2	False	False	False
4IB4	BRIL	P41595	1	1	0	0	True	True	True
4IKM	MBP	Q9Y2G2	26			20	False	False	False
4K5Y	T4L	P34998	1	1	0	0	True	True	True
4OR2	BRIL	Q13255	1	1	0	0	True	True	True
4PXZ	BRIL	Q9H244	1	1	0	0	True	True	True
4QVH	MBP	O33336	13	10	3	3	False	False	False
4WTV	T4L	Q8TCG2	2	1	1	0	False	True	True
4ZUD	BRIL	P30556	14	11	3	3	False	False	False
5DSG	T4L	P08173	1	1	0	0	True	True	True
5EE7	T4L	P47871	1	1	0	0	True	True	True
5N2S	BRIL	P30542	1	1	0	0	True	True	True
5NM4	BRIL	P29274	1	1	0	0	True	True	True
5T1A	T4L	P41597	13	7	6	3	False	False	False
5TZR	T4L	O14842	1	1	0	0	True	True	True
5UNF	BRIL	P50052	46	40	6	6	False	False	False
5VEW	T4L	P43220	1	1	0	0	True	True	True
5WIU	BRIL	P21917	7	7	0	1	False	False	False
5X93	T4L	P24530	5	2	3	1	False	False	True
5ZHP	T4L	P08483	2	1	1	0	False	True	True
5ZKC	BRIL	P08172	1	1	0	0	True	True	True
6BQG	BRIL	P28335	5	4	1	1	False	False	True
6C1Q	BRIL	P21730	10	4	6	0	False	False	False
6D27	T4L	Q9Y5Y4	2	1	1	1	False	True	True
6D9M	T4L	Q39UD1	17	7	10	9	False	False	False
6DM8	MBP	P97287	29	9	20	19	False	False	False
6EG3	MBP	P51531	1	1	0	0	True	True	True
6FFI	T4L	P41594	1	1	0	0	True	True	True
6IQL	BRIL	P51436	48	43	5	5	False	False	False
6J20	T4L	P25103	10	9	1	2	False	False	False
6KO5	BRIL	Q92847	5	4	1	1	False	False	True
6KPC	T4L	P34972	1	1	0	0	True	True	True
6LW5	BRIL	P25090	1	1	0	0	True	True	True
6M9T	T4L	P43115	1	1	0	0	True	True	True
6ZFZ	T4L	P11229	1	1	0	0	True	True	True
7F8Y	T4L	P32238	4	3	1	1	False	False	True
7WC8	BRIL	P28223	11	9	2	2	False	False	False
7WR3	MBP	A0A0H2US87	7	4	3	2	False	False	False
8H68	MBP	Q8MNT9	19	2	17	13	False	False	False
8JJ8	BRIL	P07550	33	27	6	6	False	False	False
8S4D	BRIL	P35414	1	1	0	0	True	True	True
8SVY	MBP	Q07820	14	1	13	9	False	False	False
8TF5	BRIL	P46095	2	2	0	0	False	True	True
9IYA	BRIL	Q9Y2T6	2	2	0	0	False	True	True
9QP4	BRIL	P03999	2	2	0	0	False	True	True
9W32	BRIL	P35346	18	11	7	3	False	False	False
