entity_id	fusion_partner	target_accession	topology	method	resolution	entity_length	target_modelled	fusion_modelled	target_disorder	fusion_disorder	align_coverage_of_modelled	e9_excluded	e9_sole_reason	exclusions
3HNL_1	BRIL	None	None	X-RAY DIFFRACTION	2.2	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3HNK_1	BRIL	None	None	X-RAY DIFFRACTION	2.1	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3HNJ_1	BRIL	None	None	X-RAY DIFFRACTION	2.0	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3HNI_1	BRIL	None	None	X-RAY DIFFRACTION	2.35	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3FOP_1	BRIL	None	None	X-RAY DIFFRACTION	3.0	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3FOO_1	BRIL	None	None	X-RAY DIFFRACTION	2.4	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3DE9_1	BRIL	None	None	X-RAY DIFFRACTION	2.04	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3DE8_1	BRIL	None	None	X-RAY DIFFRACTION	1.72	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3C63_1	BRIL	None	None	X-RAY DIFFRACTION	1.75	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3C62_1	BRIL	None	None	X-RAY DIFFRACTION	1.87	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
2QLA_1	BRIL	None	None	X-RAY DIFFRACTION	2.9	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
2BC5_1	BRIL	None	None	X-RAY DIFFRACTION	2.25	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
28VJ_2	BRIL	Q5HHX4	TERMINAL_C	ELECTRON MICROSCOPY	2.79	489	358	0	0.0604	1.0	1.0	True	False	E7_fusion_modelled=0<50;E9_fusion_disorder=1.00>0.2
256B_1	BRIL	None	None	X-RAY DIFFRACTION	1.4	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
22EM_4	BRIL	P41145	TERMINAL_N	ELECTRON MICROSCOPY	2.86	624	284	0	0.0689	1.0	1.0	True	False	E7_fusion_modelled=0<50;E9_fusion_disorder=1.00>0.2
1QQ3_1	BRIL	None	None	SOLUTION NMR	None	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E2_method=SOLUTION NMR;E3_no_resolution;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
1QPU_1	BRIL	None	None	SOLUTION NMR	None	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E2_method=SOLUTION NMR;E3_no_resolution;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
1M6T_1	BRIL	None	None	X-RAY DIFFRACTION	1.81	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
1LM3_1	BRIL	None	None	X-RAY DIFFRACTION	2.7	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
