pdb_id	entity_id	chain	fusion_partner	fusion_accession	target_accession	topology	resolution	method	description	target_residues_modelled	fusion_residues_modelled	reference_site_available	status
4N6H	4N6H_1	A	BRIL	P0ABE7	P41143	TERMINAL_N	1.8	X-RAY DIFFRACTION	Soluble cytochrome b562, Delta-type opioid receptor chimeric protein	303	105	True	DEVELOPMENT_EXPLORATORY_PERMANENT
9JRT	9JRT_1	A	BRIL	P0ABE7	P43116	INTERNAL_INSERTION	3.28	ELECTRON MICROSCOPY	GFP-like fluorescent chromoprotein,Prostaglandin E2 receptor EP2 subtype,Soluble cytochrome b562,Prostaglandin E2 receptor EP2 subtype,Soluble cytochrome b562	271	93	True	DEVELOPMENT_EXPLORATORY_PERMANENT
7ZL9	7ZL9_1	A	BRIL	P0ABE7	Q8TDS4	TERMINAL_C	2.7	X-RAY DIFFRACTION	Hydroxycarboxylic acid receptor 2,Soluble cytochrome b562	300	98	False	DEVELOPMENT_EXPLORATORY_PERMANENT
4Z35	4Z35_1	A	BRIL	P0ABE7	Q92633	INTERNAL_INSERTION	2.9	X-RAY DIFFRACTION	Lysophosphatidic acid receptor 1,Soluble cytochrome b562	289	90	True	DEVELOPMENT_EXPLORATORY_PERMANENT
4JKV	4JKV_1	A	BRIL	P0ABE7	Q99835	TERMINAL_N	2.45	X-RAY DIFFRACTION	Soluble cytochrome b562, Smoothened homolog	346	105	True	DEVELOPMENT_EXPLORATORY_PERMANENT
7YXA	7YXA_1	A	BRIL	P0ABE7	Q9H228	INTERNAL_INSERTION	2.2	X-RAY DIFFRACTION	Sphingosine 1-phosphate receptor 5,Soluble cytochrome b562	285	87	True	DEVELOPMENT_EXPLORATORY_PERMANENT
6RZ7	6RZ7_1	A	BRIL	P0ABE7	Q9NS75	INTERNAL_INSERTION	2.43	X-RAY DIFFRACTION	Cysteinyl leukotriene receptor 2,Soluble cytochrome b562,Cysteinyl leukotriene receptor 2	274	86	True	DEVELOPMENT_EXPLORATORY_PERMANENT
6RZ4	6RZ4_1	A	BRIL	P0ABE7	Q9Y271	INTERNAL_INSERTION	2.7	X-RAY DIFFRACTION	Cysteinyl leukotriene receptor 1,Soluble cytochrome b562,Cysteinyl leukotriene receptor 1	288	105	True	DEVELOPMENT_EXPLORATORY_PERMANENT
6CM4	6CM4_1	A	T4L	P00720	P14416	INTERNAL_INSERTION	2.867	X-RAY DIFFRACTION	D(2) dopamine receptor, endolysin chimera	263	160	True	DEVELOPMENT_EXPLORATORY_PERMANENT
5ZBQ	5ZBQ_1	A	T4L	P00720	P25929	TERMINAL_C	2.7	X-RAY DIFFRACTION	Neuropeptide Y receptor type 1,T4 Lysozyme	306	157	True	DEVELOPMENT_EXPLORATORY_PERMANENT
4DJH	4DJH_1	A	T4L	P00720	P41145	INTERNAL_INSERTION	2.9	X-RAY DIFFRACTION	Kappa-type opioid receptor, Lysozyme	287	160	True	DEVELOPMENT_EXPLORATORY_PERMANENT
3ODU	3ODU_1	A	T4L	P00720	P61073	INTERNAL_INSERTION	2.5	X-RAY DIFFRACTION	C-X-C chemokine receptor type 4, Lysozyme Chimera	293	160	True	DEVELOPMENT_EXPLORATORY_PERMANENT
6A73	6A73_1	A	T4L	P00720	P61201	TERMINAL_C	2.447	X-RAY DIFFRACTION	COP9 signalosome complex subunit 2,Endolysin	130	160	True	DEVELOPMENT_EXPLORATORY_PERMANENT
5YQR	5YQR_1	A	T4L	P00720	Q08001	TERMINAL_N	2.402	X-RAY DIFFRACTION	Endolysin/Membrane-anchored lipid-binding protein LAM6 fusion protein	108	157	False	DEVELOPMENT_EXPLORATORY_PERMANENT
6WSK	6WSK_1	A	T4L	P00720	Q5M7A7	TERMINAL_N	1.55	X-RAY DIFFRACTION	Endolysin,CB1 cannabinoid receptor-interacting protein 1 fusion	149	134	False	DEVELOPMENT_EXPLORATORY_PERMANENT
6BG3	6BG3_1	A	T4L	P00720	Q96GG9	TERMINAL_N	1.05	X-RAY DIFFRACTION	Endolysin, DCN1-like protein 1 chimera	189	164	True	DEVELOPMENT_EXPLORATORY_PERMANENT
5AZA	5AZA_1	A	MBP	P0AEX9	I6V0B8	TERMINAL_N	2.08	X-RAY DIFFRACTION	Maltose-binding periplasmic protein,Oligosaccharyl transferase stt3 subunit related protein	448	368	False	DEVELOPMENT_EXPLORATORY_PERMANENT
