entity_id	pdb_id	fusion_partner	fusion_accession	target_accession	topology	method	resolution	representative_chain	entity_length	target_modelled	fusion_modelled	target_disorder	fusion_disorder	align_coverage_of_modelled	target_also_in_development_under_other_partner	description
11TH_3	11TH	BRIL	P0ABE7	P51679	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.5	R	475	285	95	0.1949	0.0952	0.9596	False	C-C chemokine receptor type 4,Soluble cytochrome b562
11TF_1	11TF	BRIL	P0ABE7	P51679	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.4	R	475	285	95	0.1949	0.0952	0.9596	False	C-C chemokine receptor type 4,Soluble cytochrome b562
4L6R_1	4L6R	BRIL	P0ABE7	P47871	TERMINAL_N	X-RAY DIFFRACTION	3.3	A	425	292	106	0.0641	0.0	1.0	False	Soluble cytochrome b562 and Glucagon receptor chimera
4IB4_1	4IB4	BRIL	P0ABE7	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	A	430	285	90	0.0656	0.1509	1.0	False	Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562
4IAR_1	4IAR	BRIL	P0ABE7	P28222	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	A	401	273	106	0.0651	0.0	1.0	False	Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562
4IAQ_1	4IAQ	BRIL	P0ABE7	P28222	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.8	A	403	273	94	0.0714	0.1132	1.0	False	Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562
4EIY_1	4EIY	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.8	A	447	296	91	0.0295	0.1415	0.9923	False	Adenosine receptor A2a/Soluble cytochrome b562 chimera
3U8P_1	3U8P	BRIL	P0ABE7	P42212	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.75	A	347	226	106	0.0342	0.0	0.9852	False	Cytochrome b562 integral fusion with enhanced green fluorescent protein
4YAY_1	4YAY	BRIL	P0ABE7	P30556	TERMINAL_N	X-RAY DIFFRACTION	2.9	A	414	285	104	0.0656	0.0095	0.9898	False	Soluble cytochrome b562,Type-1 angiotensin II receptor
5IUB_1	5IUB	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.1	A	433	294	90	0.0329	0.1429	0.9897	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
