detector	pdb_id	partner	target	topology	resolution	orig_rank1_class	orig_rank1_score	orig_rank1_f_target	orig_rank1_f_fusion	orig_rank1_f_linker	orig_rank1_fusion_assoc	orig_rank1_recovers_ref	removed_rank1_class	removed_rank1_fusion_assoc	removed_rank1_recovers_ref	removed_rank1_dist_to_cut	ref_site_available	n_pockets_original
p2rank	3N94	MBP	P41586	TERMINAL_N	1.8	FUSION_DOMINATED	34.08	0.0417	0.9583	0.0	True	False					False	5
p2rank	3OAI	MBP	P25189	TERMINAL_N	2.1	FUSION_DOMINATED	29.19	0.0	1.0	0.0	True	False					False	8
p2rank	3ODU	T4L	P61073	INTERNAL_INSERTION	2.5	TARGET_DOMINATED	37.33	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	42.52	True	5
p2rank	4DJH	T4L	P41145	INTERNAL_INSERTION	2.9	TARGET_DOMINATED	26.14	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	50.38	True	11
p2rank	4JKV	BRIL	Q99835	TERMINAL_N	2.45	TARGET_DOMINATED	32.37	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	33.14	True	9
p2rank	4N6H	BRIL	P41143	TERMINAL_N	1.8	TARGET_DOMINATED	17.94	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	33.12	True	8
p2rank	4Z35	BRIL	Q92633	INTERNAL_INSERTION	2.9	TARGET_DOMINATED	34.95	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	40.58	True	5
p2rank	5AZA	MBP	I6V0B8	TERMINAL_N	2.08	FUSION_DOMINATED	34.62	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	23.06	False	15
p2rank	5GPP	MBP	Q9I9N6	TERMINAL_N	2.0	FUSION_DOMINATED	26.14	0.0	1.0	0.0	True	False					False	11
p2rank	5H7Q	MBP	P41218	TERMINAL_N	1.451	FUSION_DOMINATED	35.47	0.0	1.0	0.0	True	False					False	8
p2rank	5JQE	MBP	Q14790	TERMINAL_N	3.157	FUSION_DOMINATED	11.67	0.0	1.0	0.0	True	False					False	3
p2rank	5K94	MBP	P10408	COMPLEX	2.1	FUSION_DOMINATED	9.31	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	7.8	False	6
p2rank	5YQR	T4L	Q08001	TERMINAL_N	2.402	FUSION_DOMINATED	3.74	0.0	1.0	0.0	True	False					False	1
p2rank	5ZBQ	T4L	P25929	TERMINAL_C	2.7	TARGET_DOMINATED	61.49	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	40.93	True	8
p2rank	6A73	T4L	P61201	TERMINAL_C	2.447	FUSION_DOMINATED	3.3	0.2308	0.7692	0.0	True	False	TARGET_DOMINATED	False	True	28.93	True	3
p2rank	6BG3	T4L	Q96GG9	TERMINAL_N	1.05	TARGET_DOMINATED	12.32	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	22.73	True	6
p2rank	6CM4	T4L	P14416	INTERNAL_INSERTION	2.867	TARGET_DOMINATED	36.25	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	46.1	True	6
