fusion_partner	target_accession	pdb_id	entity_id	representative_chain	resolution	method	topology	n_structures_for_this_target
BRIL	C0HAK2	6M97	6M97_1	A	3.03	X-RAY DIFFRACTION	INTERNAL_INSERTION	2
BRIL	P03999	9QP4	9QP4_1	A	3.06	ELECTRON MICROSCOPY	INTERNAL_INSERTION	2
BRIL	P07550	8JJ8	8JJ8_1	F	3.2	ELECTRON MICROSCOPY	INTERNAL_INSERTION	3
BRIL	P08172	5ZKC	5ZKC_1	A	2.3	X-RAY DIFFRACTION	INTERNAL_INSERTION	5
BRIL	P0AF16	6CC4	6CC4_1	A	3.5	X-RAY DIFFRACTION	TERMINAL_N	1
BRIL	P14416	7DFP	7DFP_1	A	3.1	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
BRIL	P21730	6C1Q	6C1Q_1	B	2.9	X-RAY DIFFRACTION	TERMINAL_N	1
BRIL	P21917	5WIU	5WIU_1	A	1.962	X-RAY DIFFRACTION	INTERNAL_INSERTION	2
BRIL	P25090	6LW5	6LW5_1	A	2.8	X-RAY DIFFRACTION	TERMINAL_N	1
BRIL	P28222	4IAR	4IAR_1	A	2.7	X-RAY DIFFRACTION	INTERNAL_INSERTION	3
BRIL	P28223	7WC8	7WC8_1	A	2.45	X-RAY DIFFRACTION	INTERNAL_INSERTION	12
BRIL	P28335	6BQG	6BQG_1	A	3.0	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
BRIL	P29274	5NM4	5NM4_1	A	1.7	X-RAY DIFFRACTION	INTERNAL_INSERTION	124
BRIL	P30542	5N2S	5N2S_1	A	3.303	X-RAY DIFFRACTION	TERMINAL_N	1
BRIL	P30556	4ZUD	4ZUD_1	A	2.8	X-RAY DIFFRACTION	TERMINAL_N	5
BRIL	P35346	9W32	9W32_1	A	2.59	ELECTRON MICROSCOPY	INTERNAL_INSERTION	2
BRIL	P35414	8S4D	8S4D_1	A	2.584	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
BRIL	P41143	4N6H	4N6H_1	A	1.8	X-RAY DIFFRACTION	TERMINAL_N	3
BRIL	P41595	4IB4	4IB4_1	A	2.7	X-RAY DIFFRACTION	INTERNAL_INSERTION	6
BRIL	P42212	3U8P	3U8P_1	A	2.75	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
BRIL	P43116	9JRT	9JRT_1	A	3.28	ELECTRON MICROSCOPY	INTERNAL_INSERTION	2
BRIL	P46095	8TF5	8TF5_1	A	2.1	X-RAY DIFFRACTION	INTERNAL_INSERTION	3
BRIL	P47871	4L6R	4L6R_1	A	3.3	X-RAY DIFFRACTION	TERMINAL_N	1
BRIL	P50052	5UNF	5UNF_1	A	2.8	X-RAY DIFFRACTION	TERMINAL_N	6
BRIL	P51436	6IQL	6IQL_1	A	3.5	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
BRIL	P51679	11TF	11TF_1	R	3.4	ELECTRON MICROSCOPY	INTERNAL_INSERTION	2
BRIL	Q13255	4OR2	4OR2_1	A	2.8	X-RAY DIFFRACTION	TERMINAL_N	1
BRIL	Q15306	9CUG	9CUG_1	A	2.49	X-RAY DIFFRACTION	TERMINAL_N	1
BRIL	Q8TDS4	7ZL9	7ZL9_1	A	2.7	X-RAY DIFFRACTION	TERMINAL_C	2
BRIL	Q92633	4Z35	4Z35_1	A	2.9	X-RAY DIFFRACTION	INTERNAL_INSERTION	3
BRIL	Q92847	6KO5	6KO5_1	A	3.3	X-RAY DIFFRACTION	TERMINAL_N	1
BRIL	Q99835	4JKV	4JKV_1	A	2.45	X-RAY DIFFRACTION	TERMINAL_N	7
BRIL	Q9H228	7YXA	7YXA_1	A	2.2	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
BRIL	Q9H244	4PXZ	4PXZ_1	A	2.5	X-RAY DIFFRACTION	INTERNAL_INSERTION	3
BRIL	Q9NS75	6RZ7	6RZ7_1	A	2.43	X-RAY DIFFRACTION	INTERNAL_INSERTION	2
BRIL	Q9NUN7	6G7O	6G7O_1	A	2.7	X-RAY DIFFRACTION	TERMINAL_C	1
BRIL	Q9Y271	6RZ4	6RZ4_1	A	2.7	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
BRIL	Q9Y2T6	9IYA	9IYA_1	A	3.04	ELECTRON MICROSCOPY	TERMINAL_C	1
MBP	A0A0D5YCX7	5VAW	5VAW_1	A	1.69	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	A0A0F6B1U8	4EXK	4EXK_1	A	1.28	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	A0A0H2US87	7WR3	7WR3_1	A	1.87	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	A0A0H3N4W9	8DX4	8DX4_1	A	2.487	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	A0A2K3D5Z7	7CY6	7CY6_1	A	2.1	X-RAY DIFFRACTION	TERMINAL_N	5
MBP	A5Z1Q8	3OB4	3OB4_1	A	2.706	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	B0V1H4	4IRL	4IRL_1	A	1.47	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	B1B3N6	4PQK	4PQK_1	A	3.401	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	C4YKK8	4H1G	4H1G_1	A	2.15	X-RAY DIFFRACTION	COMPLEX	1
MBP	D2KPJ6	5TTD	5TTD_1	A	2.0	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	F2K1V9	6DD5	6DD5_1	A	2.85	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	I6V0B8	5AZA	5AZA_1	A	2.08	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	O24456	3DM0	3DM0_1	A	2.4	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	O29867	3WAI	3WAI_1	A	1.897	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	O33336	4QVH	4QVH_1	A	1.75	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	O70468	4EDQ	4EDQ_1	A	1.641	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	O95619	8IIZ	8IIZ_1	A	2.1	X-RAY DIFFRACTION	TERMINAL_N	2
MBP	P03126	7UAJ	7UAJ_1	A	3.25	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	P05133	5FSG	5FSG_1	A	3.209	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	P06931	3PY7	3PY7_1	A	2.288	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	P09879	5Y2G	5Y2G_1	A	3.0	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	P0C872	4QSZ	4QSZ_1	A	2.86	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	P10408	5K94	5K94_1	A	2.1	X-RAY DIFFRACTION	COMPLEX	1
MBP	P10588	8C5L	8C5L_1	A	2.6	X-RAY DIFFRACTION	COMPLEX	1
MBP	P10761	5OSQ	5OSQ_1	A	2.05	X-RAY DIFFRACTION	TERMINAL_N	4
MBP	P17813	5I04	5I04_1	A	2.42	X-RAY DIFFRACTION	TERMINAL_N	2
MBP	P25189	3OAI	3OAI_1	A	2.1	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	P25554	3MP6	3MP6_1	A	1.48	X-RAY DIFFRACTION	TERMINAL_N	3
MBP	P28562	6D66	6D66_1	A	2.226	X-RAY DIFFRACTION	TERMINAL_N	4
MBP	P34998	3EHS	3EHS_1	A	2.76	X-RAY DIFFRACTION	TERMINAL_N	2
MBP	P36046	3A3C	3A3C_1	A	2.5	X-RAY DIFFRACTION	TERMINAL_N	2
MBP	P41218	5H7Q	5H7Q_1	A	1.451	X-RAY DIFFRACTION	TERMINAL_N	2
MBP	P41586	3N94	3N94_1	A	1.8	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	P49273	3H4Z	3H4Z_1	A	2.35	X-RAY DIFFRACTION	COMPLEX	1
MBP	P51531	6EG3	6EG3_1	A	2.84	X-RAY DIFFRACTION	TERMINAL_N	2
MBP	P53220	6K7E	6K7E_1	A	1.534	X-RAY DIFFRACTION	TERMINAL_N	3
MBP	P59046	5H7N	5H7N_1	A	1.849	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	P62593	4DXB	4DXB_1	A	2.29	X-RAY DIFFRACTION	TERMINAL_N	2
MBP	P97287	6DM8	6DM8_1	A	2.7	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q07820	8SVY	8SVY_1	A	1.47	X-RAY DIFFRACTION	TERMINAL_N	23
MBP	Q0PF16	4B3N	4B3N_1	A	3.3	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q12495	8DEI	8DEI_1	A	2.81	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q13324	3N93	3N93_1	A	2.5	X-RAY DIFFRACTION	TERMINAL_N	3
MBP	Q14790	5JQE	5JQE_1	A	3.157	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q15109	3O3U	3O3U_1	N	1.497	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q15475	4EGC	4EGC_1	A	1.994	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q185H8	7T31	7T31_1	A	2.3	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q2YLR6	7MHW	7MHW_1	A	2.55	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q59028	8SBU	8SBU_1	A	2.2	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q62227	4NUF	4NUF_1	A	2.8	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q76KB1	3F5F	3F5F_1	A	2.65	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q76LX8	7B01	7B01_1	A	2.8	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q7Z434	2VGQ	2VGQ_1	A	2.1	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q8MNT9	8H68	8H68_1	A	2.2	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q8T5C5	6XRX	6XRX_1	A	1.95	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q8WR62	5II5	5II5_1	A	1.8	X-RAY DIFFRACTION	COMPLEX	2
MBP	Q93038	5YGP	5YGP_1	A	2.09	X-RAY DIFFRACTION	TERMINAL_N	3
MBP	Q9C000	4IFP	4IFP_1	A	1.9948	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q9F0R1	1HSJ	1HSJ_1	A	2.3	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q9GZX7	5W0R	5W0R_1	A	2.4	X-RAY DIFFRACTION	TERMINAL_N	3
MBP	Q9I9N6	5GPP	5GPP_1	A	2.0	X-RAY DIFFRACTION	TERMINAL_N	2
MBP	Q9NZC2	6XDS	6XDS_1	A	1.466	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q9UBN7	5EDU	5EDU_1	A	2.79	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q9ULZ3	6KI0	6KI0_1	A	2.0	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q9UMX1	4BL9	4BL9_1	A	2.8	X-RAY DIFFRACTION	TERMINAL_N	4
MBP	Q9VUQ5	1R6Z	1R6Z_1	A	2.8	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q9Y2G2	4IKM	4IKM_1	A	2.4606	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	Q9Y5X4	4LOG	4LOG_1	A	2.7	X-RAY DIFFRACTION	TERMINAL_N	1
MBP	W8GI72	6VLS	6VLS_1	A	3.2	X-RAY DIFFRACTION	TERMINAL_N	1
T4L	A4UDG5	6ZX9	6ZX9_3	C	2.5197288426	X-RAY DIFFRACTION	TERMINAL_N	1
T4L	G9MAP5	4TN3	4TN3_1	A	3.1989	X-RAY DIFFRACTION	TERMINAL_C	1
T4L	O14493	5B2G	5B2G_1	A	3.5	X-RAY DIFFRACTION	TERMINAL_N	1
T4L	O14842	5TZR	5TZR_1	A	2.2	X-RAY DIFFRACTION	INTERNAL_INSERTION	4
