detector	pdb_id	partner	target	rank1_class	f_fusion	n_fusion_residues_in_pocket	isolated_n_pockets	best_jaccard	best_isolated_rank	centroid_dist	probe_state	mechanism
p2rank	1HSJ	MBP	Q9F0R1	FUSION_DOMINATED	1.0	23	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	1R6Z	MBP	Q9VUQ5	FUSION_DOMINATED	1.0	21	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	2VGQ	MBP	Q7Z434	FUSION_DOMINATED	1.0	24	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3A3C	MBP	P36046	FUSION_DOMINATED	0.96	24	9	0.958	1	0.72	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3DM0	MBP	O24456	FUSION_DOMINATED	1.0	21	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3EHS	MBP	P34998	FUSION_DOMINATED	1.0	21	4	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3F5F	MBP	Q76KB1	FUSION_DOMINATED	1.0	21	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3H4Z	MBP	P49273	FUSION_DOMINATED	0.9167	22	4	0.955	1	0.47	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3MP6	MBP	P25554	FUSION_DOMINATED	1.0	24	9	0.958	1	0.47	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3N93	MBP	Q13324	FUSION_DOMINATED	1.0	22	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3O3U	MBP	Q15109	FUSION_DOMINATED	1.0	24	6	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3OB4	MBP	A5Z1Q8	FUSION_DOMINATED	1.0	23	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3PY7	MBP	P06931	FUSION_DOMINATED	1.0	26	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	3U8P	BRIL	P42212	FUSION_DOMINATED	0.7	25	1	0.8	1	1.75	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4B3N	MBP	Q0PF16	FUSION_DOMINATED	1.0	23	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4BL9	MBP	Q9UMX1	FUSION_DOMINATED	1.0	23	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4DXB	MBP	P62593	FUSION_DOMINATED	0.7692	20	5	0.905	1	0.75	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4EDQ	MBP	O70468	FUSION_DOMINATED	1.0	24	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4EGC	MBP	Q15475	FUSION_DOMINATED	1.0	24	6	0.875	1	1.43	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4EPI	T4L	Q57159	INTERFACE	0.4375	7	2	0.308	1	6.83	AMBIGUOUS	TARGET_FUSION_INTERFACE
p2rank	4EXK	MBP	A0A0F6B1U8	FUSION_DOMINATED	1.0	25	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4H1G	MBP	C4YKK8	FUSION_DOMINATED	1.0	23	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4IFP	MBP	Q9C000	FUSION_DOMINATED	0.9583	23	4	0.957	1	0.44	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4IKM	MBP	Q9Y2G2	FUSION_DOMINATED	1.0	28	3	0.964	1	0.47	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4IRL	MBP	B0V1H4	FUSION_DOMINATED	1.0	24	10	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4LOG	MBP	Q9Y5X4	FUSION_DOMINATED	1.0	16	2	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4NUF	MBP	Q62227	FUSION_DOMINATED	1.0	19	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4PQK	MBP	B1B3N6	FUSION_DOMINATED	1.0	26	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4QSZ	MBP	P0C872	FUSION_DOMINATED	1.0	24	4	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4QVH	MBP	O33336	FUSION_DOMINATED	0.92	23	6	0.957	1	0.32	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	4TN3	T4L	G9MAP5	INTERFACE	0.5833	7	3	0.0			NO_MATCHING_CAVITY	TARGET_FUSION_INTERFACE
p2rank	5B2G	T4L	O14493	FUSION_DOMINATED	1.0	5	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5EDU	MBP	Q9UBN7	FUSION_DOMINATED	1.0	23	6	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5FSG	MBP	P05133	FUSION_DOMINATED	1.0	26	4	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5H7N	MBP	P59046	FUSION_DOMINATED	1.0	23	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5I04	MBP	P17813	FUSION_DOMINATED	1.0	23	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5II5	MBP	Q8WR62	FUSION_DOMINATED	1.0	25	4	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5OSQ	MBP	P10761	FUSION_DOMINATED	0.9615	25	4	0.92	1	0.92	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5TTD	MBP	D2KPJ6	FUSION_DOMINATED	1.0	25	6	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5VAW	MBP	A0A0D5YCX7	FUSION_DOMINATED	1.0	17	4	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5VEW	T4L	P43220	INTERFACE	0.5833	14	1	0.0			NO_MATCHING_CAVITY	TARGET_FUSION_INTERFACE
p2rank	5W0R	MBP	Q9GZX7	FUSION_DOMINATED	0.9286	26	1	0.769	1	2.76	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5Y2G	MBP	P09879	FUSION_DOMINATED	0.7333	22	4	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	5YGP	MBP	Q93038	FUSION_DOMINATED	1.0	21	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6D66	MBP	P28562	FUSION_DOMINATED	1.0	19	2	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6D9M	T4L	Q39UD1	FUSION_DOMINATED	0.7692	10	3	0.8	1	1.14	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6DD5	MBP	F2K1V9	FUSION_DOMINATED	1.0	24	6	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6DM8	MBP	P97287	FUSION_DOMINATED	1.0	23	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6K7E	MBP	P53220	FUSION_DOMINATED	1.0	18	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6KI0	MBP	Q9ULZ3	FUSION_DOMINATED	1.0	24	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6M97	BRIL	C0HAK2	FUSION_DOMINATED	0.75	6	1	0.857	1	1.01	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6VLS	MBP	W8GI72	FUSION_DOMINATED	1.0	18	1	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6XDS	MBP	Q9NZC2	FUSION_DOMINATED	1.0	24	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	6ZX9	T4L	A4UDG5	FUSION_DOMINATED	1.0	6	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	7B01	MBP	Q76LX8	FUSION_DOMINATED	1.0	20	6	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	7MHW	MBP	Q2YLR6	FUSION_DOMINATED	0.9583	23	2	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	7T31	MBP	Q185H8	FUSION_DOMINATED	1.0	19	1	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	7WR3	MBP	A0A0H2US87	FUSION_DOMINATED	1.0	24	5	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	7Z36	T4L	Q13263	FUSION_DOMINATED	1.0	18	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	8C5L	MBP	P10588	FUSION_DOMINATED	1.0	21	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	8DEI	MBP	Q12495	FUSION_DOMINATED	1.0	18	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	8DX4	MBP	A0A0H3N4W9	FUSION_DOMINATED	1.0	22	2	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
